Business Studies;Economia
Production;Produzione
Business Finance;Affari Finanza
Systems Analysis;Analisi dei Sistemi
Financial Statement Analysis;Analisi di bilancio
Market Analysis;Analisi di mercato
Organizational Learning;Apprendimento Organizzativo
Self-motivation Skills;Auto-motivazione Competenze
B2B (Business to Business) Marketing;B2B (Business to Business) Marketing
B2C (Business to Consumer) Marketing;B2C (Business to Consumer) Marketing
Banking;Bancario
Balance Sheets;Bilanci
Balance of Payments;Bilancia dei pagamenti
Break-Even Analysis;Break-Even - Analisi
Business Management;Business Management
Business Software;Business Software
Distribution Channels;Canali di distribuzione
Negotiation Skills;Capacità di negoziazione
Change Management;Change Management
What Efficiency is;Che efficienza è
Coaching;Coaching
Collaboration;Collaborazione
Commercial and Investment Banking;Commercial Banking e Investment
Marketing;commercializzazione
International Trade;commercio internazionale
Consumer Behaviour;Comportamento dei consumatori
Organizational Behaviour and Leadership;Comportamento organizzativo e leadership
Communications and Interpersonal Skills;Comunicazione e capacità relazionali
Electronic Communication;Comunicazioni elettroniche
Competition;Concorrenza
Accounting;contabilità
Bookkeeping;Contabilità
Financial Accounting;Contabilità
Accounting and Financial Ratios;Contabilità e Indici finanziari
Contestability;Contendibilità
Profit and Loss Accounts;Conto profitti e perdite
Contracts;Contratti
Corporate Finance;Corporate Finance
Growing a business;Crescere un business
Organizational Culture;Cultura organizzativa
Customer Relationship Management;Customer Relationship Management
Data and Information Management;Dati e delle informazioni
Data privacy;Dati personali
Decision Science;decisione della Scienza
Behavioural Decision Theory;Decisione Teoria comportamentale
Decision Making Under Uncertainty;Decisioni in condizioni di incertezza
Delegation;Delegazione
National Economy;dell'economia nazionale
Free Trade;Di libero scambio
Business Size;Dimensioni azienda
Business Law;Diritto commerciale
Employment Law and Legislation;Diritto del lavoro e legislazione
Competition Law;Diritto della concorrenza
Aggregate Demand and Aggregate Supply;Domanda aggregata e offerta aggregata
E-Business;E-Business
E-Commerce;E-Commerce
Transport Economics;Economia dei Trasporti
Economics of Work and Leisure;Economia del lavoro e tempo libero
Business Economics;economia e commercio
Global Economics;Economia Globale
Economies of Scale;Economie di scala
Entrepreneurship Education;Educazione all'imprenditorialità+G16
Allocative Efficiency;Efficienza allocativa
Economic Efficiency;Efficienza economica
Productive Efficiency;Efficienza produttiva
e-Government;e-Government
Business Ethics;Etica degli affari
Organizational Evolution and Growth;Evoluzione organizzativa e di crescita
Market Failure;Fallimento del mercato
Circular Flow of Income and Multiplier Effect;Flusso circolare del reddito ed effetto moltiplicatore
Cash Flow;Flusso di cassa
Inspiring Followership;Followership Inspiring
Sources of Funds;Fonti di finanziamento
Supply Side Policy;Fornitura Politica Side
Mergers and acquisitions;Fusioni e acquisizioni
Mergers and Takeovers;Fusioni e acquisizioni
Cost Management;Gestione dei costi
Risk Management;Gestione del rischio
Knowledge Management;Gestione della Conoscenza
Resource Management;Gestione delle risorse
Human Resource Management;Gestione delle Risorse Umane
Economic Management;Gestione economica
Globalisation;Globalizzazione
Financial Markets and Institutions;I mercati finanziari e le istituzioni
Benefits and Implications of International trade;I vantaggi e le implicazioni del commercio internazionale
ICT in business;ICT nel mondo degli affari
Social Entrepreneurship;Imprenditoria Sociale
Enterprise;Impresa
Corporates Restructuring;Imprese di ristrutturazione
Inflation;Inflazione
IT Infrastructures;Infrastrutture IT
Innovation;Innovazione
International Finance;International Finance
International Marketing;International Marketing
Data Interpretation;Interpretazione dei dati
IT Strategy;IT Strategy
Investment Decisions;Le decisioni di investimento
Organizational Innovation;L'innovazione organizzativa
Marketing Management;Marketing Management
Strategic Marketing;Marketing Strategico
Capital Markets;Mercati dei capitali
Statistical Methods;Metodi statistici
Performance Measurement;Misurazione della performance
Measures of Development;Misure di sviluppo
Negotiation and Auction Analysis;Negoziazione e Vendita all'asta di analisi
Regulations;Normativa
Operations Management;Operations Management
Creative Thinking;Pensiero Creativo
Budgets;Per i bilanci
Fiscal Policy;Politica fiscale
Macroeconomic Policy;politica macroeconomica
Monetary Policy;Politica monetaria
Power and Politics;Potere e politica
Forecasting;Previsione
Price Strategies;Prezzo Strategie
International Accounting Standards;Principi contabili internazionali
Private Equity and Venture Capital;Private Equity e Venture Capital
Entrepreneurial Process;Processo imprenditoriale
Project Management;Project Management
Intellectual Property;Proprietà Intellettuale
Protecting Ideas;Proteggere Idee
Protectionism;Protezionismo
Public Relations;Rapporti
Conflict Resolution;Risoluzione dei conflitti
Segmentation and Positioning;Segmentazione e Posizionamento
Sense of Initiative and Entrepreneurship;Senso di iniziativa e imprenditorialità
Services Marketing;Servizi di Marketing
Social Networks;Social Networks
Teams and Groups;Squadre e Gruppi
Stability and Policy Effectiveness;Stabilità e l'efficacia delle politiche
Leadership Styles;Stili di Leadership
Strategy and Corporate Social Responsibility;Strategia e Responsabilità Sociale d'Impresa
Branding strategies;Strategie di branding
Communication Strategies;Strategie di comunicazione
Product Strategies/Brands;Strategie di prodotto / Marche
Market Structure;Struttura del mercato
Corporate Structures;Strutture aziendali
Business Studies;Studi economici
Development Economics;sviluppo Economia
Professional Development;Sviluppo Professionale
Taxation;Tassazione
Exchange Rates;Tassi di cambio
Trading regulations;Trading regolamenti
Negotiation;Trattativa
European Union;Unione Europea
Value-Based Management;Value-Based Management
Retailing Strategies;Vendita al dettaglio Strategie
Sales;Vendite
Vision and Mission;Visione e Missione
Working Capital;Working Capital

